"Column","CorrelationCoefficient","PValue"
"PopulationNet",0.0972620533305991,4.48818963701635e-137
"WhiteNet",0.0366655544055441,6.90208367321738e-21
"BlackNet",0.0147378781075138,0.000164986698106427
"Native.AmericanNet",-0.00839018733372946,0.0319805224213843
"AsianNet",0.0323394592960254,1.35707827108005e-16
"Pacific.IslanderNet",0.0155219763131622,7.25354497764719e-05
"OtherNet",0.0137671695030362,0.000432860529813795
"Multi.RaceNet",0.0381368025700144,1.81409204655011e-22
"LatinoNet",0.162843905781245,0
"HomesNet",0.080964646928483,1.88062874959582e-95
"VacantNet",-0.0344658256927369,1.224623416084e-18
"Net.Households",0.0994889043687553,2.3193492792602e-143
"Net.Homeowners",0.454245567296542,0
"Net.Renters",-0.148065092655581,6.63031946567528e-317
"Net.White.Homeowners",0.188070081606129,0
"Net.Black.Homeowners",0.0995689346029231,1.37005074708823e-143
"Net.Native.American.Homeowners",0.22333529886198,0
"Net.Asian.Homeowners",0.0932738470898622,3.54980924939811e-126
"Net.Pacific.Islander.Homeowners",0.0426292255698715,1.13479947157962e-27
"Net.Other.Homeowners",0.70818893684404,0
"Net.Multi.Race.Homeowners",0.459714578824427,0
"Net.White.Renters",-0.0965943754742742,3.22731923724528e-135
"Net.Black.Renters",-0.0860115895719095,1.6138438982837e-107
"Net.Native.American.Renters",-0.0776974796764938,4.93501767924968e-88
"Net.Asian.Renters",-0.0627667097341971,4.89401367004626e-58
"Net.Pacific.Islander.Renters",-0.0346334939917235,8.34398347894712e-19
"Net.Other.Renters",-0.158110970642404,0
"Net.Multi.Race.Renters",-0.0910055094002505,3.48527468760131e-120
"Net.Latino.Homeowners",1,0
"Net.Latino.Renters",-0.210139672360773,0
