"Column","CorrelationCoefficient","PValue"
"PopulationNet",0.369279573088641,0
"WhiteNet",0.146219939526199,5.02840583312555e-309
"BlackNet",0.0700162576246989,8.40450372213401e-72
"Native.AmericanNet",0.00960227266316662,0.0141083011275536
"AsianNet",0.178727050712147,0
"Pacific.IslanderNet",0.0389086659649864,2.54184369141631e-23
"OtherNet",0.0884914206409214,1.02065900497325e-113
"Multi.RaceNet",0.106180997973903,3.98800548357455e-163
"LatinoNet",0.513858471137763,0
"HomesNet",0.360879428618158,0
"VacantNet",-0.0267154259785146,8.49439933894918e-12
"Net.Households",0.399085833601994,0
"Net.Homeowners",-0.263384758132695,0
"Net.Renters",0.563632353100883,0
"Net.White.Homeowners",-0.201340319789239,0
"Net.Black.Homeowners",-0.124079054738423,1.87185210572173e-222
"Net.Native.American.Homeowners",-0.045284063193669,5.14408959838347e-31
"Net.Asian.Homeowners",-0.0924138530057975,6.91130420539306e-124
"Net.Pacific.Islander.Homeowners",-0.0273810195531196,2.55640736659996e-12
"Net.Other.Homeowners",-0.131126215287898,2.03877786552138e-248
"Net.Multi.Race.Homeowners",-0.0866732465322686,3.72653608066891e-109
"Net.White.Renters",0.268984587239267,0
"Net.Black.Renters",0.157387055431483,0
"Net.Native.American.Renters",0.332801143194824,0
"Net.Asian.Renters",0.268856235027827,0
"Net.Pacific.Islander.Renters",0.104761257182343,8.00535532054553e-159
"Net.Other.Renters",0.78741177471275,0
"Net.Multi.Race.Renters",0.508624945508713,0
"Net.Latino.Homeowners",-0.210139672360773,0
"Net.Latino.Renters",1,0
