"Column","CorrelationCoefficient","PValue"
"PopulationNet",0.724980402305443,0
"WhiteNet",0.186383221490894,0
"BlackNet",0.08318268662094,1.15353100048319e-100
"Native.AmericanNet",-0.0165280069835691,2.38926632252043e-05
"AsianNet",1,0
"Pacific.IslanderNet",0.0151981758677076,0.000102316863996121
"OtherNet",0.114147684380787,2.28795487577851e-188
"Multi.RaceNet",0.14804959730962,7.72925980040705e-317
"LatinoNet",0.104745276865719,8.94281010994354e-159
"HomesNet",0.679132000494227,0
"VacantNet",0.0665955703730287,4.04807553314426e-65
"Net.Households",0.710206848971024,0
"Net.Homeowners",0.345024860650205,0
"Net.Renters",0.55128337293886,0
"Net.White.Homeowners",-0.0693976610444817,1.4384079038373e-70
"Net.Black.Homeowners",0.0159458409567343,4.57822914398309e-05
"Net.Native.American.Homeowners",0.0252736353090277,1.03857191945017e-10
"Net.Asian.Homeowners",0.541116204351039,0
"Net.Pacific.Islander.Homeowners",0.0071737362082054,0.0666981382400334
"Net.Other.Homeowners",0.0480228907094205,1.12858537502718e-34
"Net.Multi.Race.Homeowners",0.12956399089638,1.55771849588748e-242
"Net.White.Renters",0.233954275605104,0
"Net.Black.Renters",0.112801136424886,5.71331824558569e-184
"Net.Native.American.Renters",0.0476382291680461,3.79531461093247e-34
"Net.Asian.Renters",0.694579795019416,0
"Net.Pacific.Islander.Renters",0.0467106598708427,6.79338349425031e-33
"Net.Other.Renters",0.139282824057332,2.55367627805766e-280
"Net.Multi.Race.Renters",0.25377471772352,0
"Net.Latino.Homeowners",0.0323394592960254,1.35707827108005e-16
"Net.Latino.Renters",0.178727050712147,0
