"Column","CorrelationCoefficient","PValue"
"PopulationNet",0.78212223383276,0
"WhiteNet",0.550075021941595,0
"BlackNet",0.196776380652824,0
"Native.AmericanNet",0.0266436384338247,9.6525217907963e-12
"AsianNet",0.679132000494227,0
"Pacific.IslanderNet",0.0685705830364261,6.16266765999687e-69
"OtherNet",0.107238596955446,2.2762853451273e-166
"Multi.RaceNet",0.252016588646418,0
"LatinoNet",0.278312744460573,0
"HomesNet",1,0
"VacantNet",0.382305688134276,0
"Net.Households",0.946421075956095,0
"Net.Homeowners",0.310386647496509,0
"Net.Renters",0.81762970024928,0
"Net.White.Homeowners",0.127663344842937,1.78621354892252e-235
"Net.Black.Homeowners",0.0559045772834013,2.1582409697407e-46
"Net.Native.American.Homeowners",0.0309466681269493,2.52931670295089e-15
"Net.Asian.Homeowners",0.285895321308893,0
"Net.Pacific.Islander.Homeowners",0.0152413599362678,9.77656898281453e-05
"Net.Other.Homeowners",0.0566106241627131,1.57773169078698e-47
"Net.Multi.Race.Homeowners",0.0793079269891833,1.18800507168109e-91
"Net.White.Renters",0.591705381901223,0
"Net.Black.Renters",0.314227289421915,0
"Net.Native.American.Renters",0.109185228477456,2.00144616980982e-172
"Net.Asian.Renters",0.70288034433041,0
"Net.Pacific.Islander.Renters",0.105411364286632,8.71997829179566e-161
"Net.Other.Renters",0.244873700738409,0
"Net.Multi.Race.Renters",0.352220169682657,0
"Net.Latino.Homeowners",0.080964646928483,1.88062874959582e-95
"Net.Latino.Renters",0.360879428618158,0
"PopulationNet",0.78212223383276,0
"WhiteNet",0.550075021941595,0
"BlackNet",0.196776380652824,0
"Native.AmericanNet",0.0266436384338247,9.6525217907963e-12
"AsianNet",0.679132000494227,0
"Pacific.IslanderNet",0.0685705830364261,6.16266765999687e-69
"OtherNet",0.107238596955446,2.2762853451273e-166
"Multi.RaceNet",0.252016588646418,0
"LatinoNet",0.278312744460573,0
"HomesNet",1,0
"VacantNet",0.382305688134276,0
"Net.Households",0.946421075956095,0
"Net.Homeowners",0.310386647496509,0
"Net.Renters",0.81762970024928,0
"Net.White.Homeowners",0.127663344842937,1.78621354892252e-235
"Net.Black.Homeowners",0.0559045772834013,2.1582409697407e-46
"Net.Native.American.Homeowners",0.0309466681269493,2.52931670295089e-15
"Net.Asian.Homeowners",0.285895321308893,0
"Net.Pacific.Islander.Homeowners",0.0152413599362678,9.77656898281453e-05
"Net.Other.Homeowners",0.0566106241627131,1.57773169078698e-47
"Net.Multi.Race.Homeowners",0.0793079269891833,1.18800507168109e-91
"Net.White.Renters",0.591705381901223,0
"Net.Black.Renters",0.314227289421915,0
"Net.Native.American.Renters",0.109185228477456,2.00144616980982e-172
"Net.Asian.Renters",0.70288034433041,0
"Net.Pacific.Islander.Renters",0.105411364286632,8.71997829179566e-161
"Net.Other.Renters",0.244873700738409,0
"Net.Multi.Race.Renters",0.352220169682657,0
"Net.Latino.Homeowners",0.080964646928483,1.88062874959582e-95
"Net.Latino.Renters",0.360879428618158,0
"PopulationNet",0.78212223383276,0
"WhiteNet",0.550075021941595,0
"BlackNet",0.196776380652824,0
"Native.AmericanNet",0.0266436384338247,9.6525217907963e-12
"AsianNet",0.679132000494227,0
"Pacific.IslanderNet",0.0685705830364261,6.16266765999687e-69
"OtherNet",0.107238596955446,2.2762853451273e-166
"Multi.RaceNet",0.252016588646418,0
"LatinoNet",0.278312744460573,0
"HomesNet",1,0
"VacantNet",0.382305688134276,0
"Net.Households",0.946421075956095,0
"Net.Homeowners",0.310386647496509,0
"Net.Renters",0.81762970024928,0
"Net.White.Homeowners",0.127663344842937,1.78621354892252e-235
"Net.Black.Homeowners",0.0559045772834013,2.1582409697407e-46
"Net.Native.American.Homeowners",0.0309466681269493,2.52931670295089e-15
"Net.Asian.Homeowners",0.285895321308893,0
"Net.Pacific.Islander.Homeowners",0.0152413599362678,9.77656898281453e-05
"Net.Other.Homeowners",0.0566106241627131,1.57773169078698e-47
"Net.Multi.Race.Homeowners",0.0793079269891833,1.18800507168109e-91
"Net.White.Renters",0.591705381901223,0
"Net.Black.Renters",0.314227289421915,0
"Net.Native.American.Renters",0.109185228477456,2.00144616980982e-172
"Net.Asian.Renters",0.70288034433041,0
"Net.Pacific.Islander.Renters",0.105411364286632,8.71997829179566e-161
"Net.Other.Renters",0.244873700738409,0
"Net.Multi.Race.Renters",0.352220169682657,0
"Net.Latino.Homeowners",0.080964646928483,1.88062874959582e-95
"Net.Latino.Renters",0.360879428618158,0
