"Column","CorrelationCoefficient","PValue"
"PopulationNet",0.534339087879371,0
"WhiteNet",0.194445233046609,0
"BlackNet",0.120204511235745,8.27880435885134e-209
"Native.AmericanNet",0.0805739968809341,1.50519251853159e-94
"AsianNet",0.104745276865719,8.94281010994354e-159
"Pacific.IslanderNet",0.0972207890796701,5.85061049333957e-137
"OtherNet",0.0898097839129087,4.37228381271247e-117
"Multi.RaceNet",0.163864890913043,0
"LatinoNet",1,0
"HomesNet",0.278312744460573,0
"VacantNet",-0.00897664333798382,0.0217579788746633
"Net.Households",0.303713250163613,0
"Net.Homeowners",0.064503133549424,3.38639938688353e-61
"Net.Renters",0.281915404483918,0
"Net.White.Homeowners",0.0289494278158275,1.3484151589456e-13
"Net.Black.Homeowners",0.00527786245334005,0.177309953172656
"Net.Native.American.Homeowners",0.0353811967013603,1.47459619094038e-19
"Net.Asian.Homeowners",0.00263868255173179,0.500009396760275
"Net.Pacific.Islander.Homeowners",0.0228624592521278,5.07670086090116e-09
"Net.Other.Homeowners",0.13640184015145,7.9988917779722e-269
"Net.Multi.Race.Homeowners",0.0610209927558128,6.01949953303025e-55
"Net.White.Renters",0.159407324572967,0
"Net.Black.Renters",0.0818220102475178,1.88971883691587e-97
"Net.Native.American.Renters",0.119427953584801,3.97563927319563e-206
"Net.Asian.Renters",0.130068830554015,1.99203368043881e-244
"Net.Pacific.Islander.Renters",0.0778195551729869,2.64009734372177e-88
"Net.Other.Renters",0.3979300522939,0
"Net.Multi.Race.Renters",0.196473655310516,0
"Net.Latino.Homeowners",0.162843905781245,0
"Net.Latino.Renters",0.513858471137763,0
