"Column","CorrelationCoefficient","PValue"
"PopulationNet",0.445791270547732,0
"WhiteNet",0.540519584017083,0
"BlackNet",0.104480911953937,5.57192734777386e-158
"Native.AmericanNet",0.0609847763102835,6.96210405457341e-55
"AsianNet",0.233954275605104,0
"Pacific.IslanderNet",0.0439947329889267,2.2912825645996e-29
"OtherNet",0.00438527095293248,0.262319900430685
"Multi.RaceNet",0.166703133751159,0
"LatinoNet",0.159407324572967,0
"HomesNet",0.591705381901223,0
"VacantNet",0.0890748805979963,3.34555458062928e-115
"Net.Households",0.607929785080448,0
"Net.Homeowners",-0.160617597366856,0
"Net.Renters",0.725023780621338,0
"Net.White.Homeowners",-0.102470768847698,5.25343513649684e-152
"Net.Black.Homeowners",-0.0360625041069174,2.94513123049948e-20
"Net.Native.American.Homeowners",-0.0380788810631928,2.09908236050921e-22
"Net.Asian.Homeowners",-0.0639343602463637,3.75223144512155e-60
"Net.Pacific.Islander.Homeowners",-0.0181586175928259,3.4520670007889e-06
"Net.Other.Homeowners",-0.0781815549195634,4.10671104798188e-89
"Net.Multi.Race.Homeowners",-0.120477744331021,9.33798633493524e-210
"Net.White.Renters",1,0
"Net.Black.Renters",0.207080912794082,0
"Net.Native.American.Renters",-0.0249710934961687,1.72681309510368e-10
"Net.Asian.Renters",0.343305943481489,0
"Net.Pacific.Islander.Renters",0.0878452976564519,4.37723310616169e-112
"Net.Other.Renters",0.0195705433268699,5.64722651543034e-07
"Net.Multi.Race.Renters",0.0596478336607944,1.40873144847028e-52
"Net.Latino.Homeowners",-0.0965943754742742,3.22731923724528e-135
"Net.Latino.Renters",0.268984587239267,0
