"Column","CorrelationCoefficient","PValue"
"PopulationNet",0.624958513579124,0
"WhiteNet",0.140481914468145,4.58474673241346e-23
"BlackNet",1,0
"Native.AmericanNet",0.157600293223985,1.12216353755936e-28
"AsianNet",0.202603468804507,1.19428942374581e-46
"Pacific.IslanderNet",0.112627414973352,2.46964940380512e-15
"OtherNet",0.0286523819576676,0.0446844052280344
"Multi.RaceNet",0.0842050921287072,3.4343372141941e-09
"LatinoNet",0.137272163049471,4.36502346536826e-22
"HomesNet",0.28165776143517,3.27832874755717e-90
"VacantNet",0.0717409744895321,4.84896264626224e-07
"Net.Households",0.278058300796354,7.09306168165766e-88
"Net.Homeowners",0.0258171612774184,0.0704688233021194
"Net.Renters",0.244475306923366,9.66962461159118e-68
"Net.White.Homeowners",-0.0376671281480218,0.00829910057223322
"Net.Black.Homeowners",0.181841670441112,9.07014603854066e-38
"Net.Native.American.Homeowners",-0.0406567212607722,0.00438119972555945
"Net.Asian.Homeowners",-0.00893207182659962,0.531488226836488
"Net.Pacific.Islander.Homeowners",0.0176716370519279,0.215694704916581
"Net.Other.Homeowners",-0.0426782871621081,0.00277948635488698
"Net.Multi.Race.Homeowners",-0.0634572366339766,8.59143432595335e-06
"Net.White.Renters",0.0706256682485974,7.27909959334554e-07
"Net.Black.Renters",0.437507237169012,9.48667087688862e-229
"Net.Native.American.Renters",-0.0293770620323809,0.0395506252599183
"Net.Asian.Renters",0.108438598467605,2.55679430278822e-14
"Net.Pacific.Islander.Renters",0.0016123859628219,0.910067471643566
"Net.Other.Renters",-0.0378744479017643,0.00794986182760669
"Net.Multi.Race.Renters",-0.0911534570407562,1.56451020441629e-10
"Net.Latino.Homeowners",-0.0211704409354979,0.138013105347406
"Net.Latino.Renters",-0.0451257681254996,0.00156242771089949
