"Column","CorrelationCoefficient","PValue"
"PopulationNet",0.841488774135707,0
"WhiteNet",0.58240985372383,0
"BlackNet",0.284070557223358,0
"Native.AmericanNet",0.0276757943853812,0.000190918012825597
"AsianNet",0.76418149043454,0
"Pacific.IslanderNet",0.0417863237966213,1.75828495893559e-08
"OtherNet",0.171317093613813,1.08685234899625e-119
"Multi.RaceNet",0.257329189974847,1.30289267062205e-272
"LatinoNet",0.280100483046005,0
"HomesNet",1,0
"VacantNet",0.414447987424541,0
"Net.Households",0.950255617624072,0
"Net.Homeowners",0.295353873839402,0
"Net.Renters",0.85310029852019,0
"Net.White.Homeowners",0.0772005055692104,2.00302558276603e-25
"Net.Black.Homeowners",0.0383849493267523,2.27585184911574e-07
"Net.Native.American.Homeowners",0.031718902761926,1.9026890894281e-05
"Net.Asian.Homeowners",0.298256524118154,0
"Net.Pacific.Islander.Homeowners",0.00782231898963149,0.291757051427422
"Net.Other.Homeowners",0.0661814872014271,4.28135139284924e-19
"Net.Multi.Race.Homeowners",0.0701666563903256,2.84070408076779e-21
"Net.White.Renters",0.618314169960877,0
"Net.Black.Renters",0.335051325953802,0
"Net.Native.American.Renters",0.115371857722104,7.11625785987999e-55
"Net.Asian.Renters",0.788999492930932,0
"Net.Pacific.Islander.Renters",0.0792248355024841,1.0811974703706e-26
"Net.Other.Renters",0.267476110744194,3.46120861729179e-295
"Net.Multi.Race.Renters",0.381695305022257,0
"Net.Latino.Homeowners",0.0799780697730862,3.57962139767579e-27
"Net.Latino.Renters",0.384320360189728,0
