"Column","CorrelationCoefficient","PValue"
"PopulationNet",0.89570745252428,2.06173117922924e-134
"WhiteNet",0.252609639416232,6.49264282175457e-07
"BlackNet",0.170808936894079,0.000854702375351305
"Native.AmericanNet",0.236389744531581,3.37219922224716e-06
"AsianNet",0.764083327559461,1.42664058665394e-73
"Pacific.IslanderNet",0.190393751437157,0.000196453638874835
"OtherNet",0.199143308027032,9.69590429456857e-05
"Multi.RaceNet",0.300066318962286,2.64317518635137e-09
"LatinoNet",0.203839701470882,6.55289463897077e-05
"HomesNet",1,0
"VacantNet",0.334918182971292,2.32511045979615e-11
"PopulationNetPer",0.763346082668443,2.37330132726429e-73
"WhiteNetPer",0.150110642700554,0.00344000786911543
"BlackNetPer",0.269433722670322,1.03917584544019e-07
"Native.AmericanNetPer",-0.0224784544784759,0.66309885759913
"AsianNetPer",0.67987109097575,1.3591398071866e-52
"Pacific.IslanderNetPer",0.00253501651101555,0.960821114494218
"OtherNetPer",-0.0250186940965276,0.627758680637829
"Multi.RaceNetPer",0.25573558561477,4.66388875467442e-07
"LatinoNetPer",0.267066696152067,1.35519763685134e-07
"HomesNetPer",0.546290889893247,8.60771765388759e-31
"VacantNetPer",0.32940817169557,5.11996811836801e-11
"Households",0.447259499666348,5.4418317802461e-20
"Homeowners",0.223586013503664,1.14245625842729e-05
"Renters",0.295611027613731,4.63509368919617e-09
"WhiteHomeowners",-0.0139020451054489,0.787618423271805
"BlackHomeowners",-0.0620243363132463,0.228954764049976
"Native.AmericanHomeowners",-0.0802383837683763,0.119385568352815
"AsianHomeowners",0.412035147372854,6.34872865460154e-17
"Pacific.IslanderHomeowners",-0.000519603070083685,0.991966410723498
"OtherHomeowners",-0.062787494959687,0.223266755928722
"Multi.RaceHomeowners",0.0068312495349883,0.894686625149376
"WhiteHomeownersPer",-0.116099261155234,0.0239836824076845
"BlackHomeownersPer",-0.10741941175461,0.0368340130293115
"Native.AmericanHomeownersPer",-0.12085997932086,0.0187418105502228
"AsianHomeownersPer",0.269211592700239,1.06551048115556e-07
"Pacific.IslanderHomeownersPer",-0.0622744504320354,0.227079394172816
"OtherHomeownersPer",-0.123242544529208,0.0165155412015131
"Multi.RaceHomeownersPer",-0.1533100003325,0.00280349109727813
"WhiteRenters",0.226422036914247,8.77150681866935e-06
"BlackRenters",0.0764791490407359,0.137762639461789
"Native.AmericanRenters",0.0173982683462922,0.735991595867199
"AsianRenters",0.357531930354274,7.69712524616763e-13
"Pacific.IslanderRenters",0.0480999612496986,0.35101990792563
"OtherRenters",0.0143498881384416,0.780947857367142
"Multi.RaceRenters",0.217895672213618,1.92163965475706e-05
"LatinoRenters",0.0538264197614194,0.296579729594122
"OtherRentersPer",-0.104762954613416,0.0417821367052496
"Pacific.IslanderRentersPer",-0.0616581791198307,0.231719994264118
"Multi.RaceRentersPer",-0.0787019505460258,0.126650853098269
"LatinoHomeowners",-0.0578114382355322,0.262203502578651
"LatinoHomeownersPer",-0.138988113939339,0.00680096827477928
"Net.Households",0.968342510189323,1.01966108949587e-228
"Net.Homeowners",0.761326989291001,9.4753983752004e-73
"Net.Renters",0.706086898759817,2.54348236254768e-58
"Net.White.Homeowners",0.129996574865374,0.0114129181343603
"Net.Black.Homeowners",0.163255357786724,0.00144789898205703
"Net.Native.American.Homeowners",-0.0826499943717024,0.108642763701905
"Net.Asian.Homeowners",0.688999554584464,1.61435455245282e-54
"Net.Pacific.Islander.Homeowners",0.112617215248977,0.0285789567229137
"Net.Other.Homeowners",0.00860401033465909,0.867582385759537
"Net.Multi.Race.Homeowners",0.00762655415580629,0.882509900968374
"Net.White.Renters",0.326831655852483,7.36601404349257e-11
"Net.Black.Renters",0.249733672659839,8.76883978656604e-07
"Net.Native.American.Renters",0.00695171263839653,0.892840581050306
"Net.Asian.Renters",0.577700309409461,4.95908949324352e-35
"Net.Pacific.Islander.Renters",0.079572826944006,0.12249180318849
"Net.Other.Renters",0.0566132724737251,0.272238038788809
"Net.Multi.Race.Renters",0.267805521747183,1.24775333902327e-07
"Net.Latino.Homeowners",0.0847307350497414,0.0999993139904172
"Net.Latino.Renters",0.174035438303161,0.000677814574550659
"Net.Households.Per",0.496047397739577,7.14612513449549e-25
"Net.Homeowners.Per",0.375028780769223,4.54500438281697e-14
"Net.Renters.Per",0.328469667756652,5.84761181188078e-11
"Net.White.Homeowners.Per",0.0229934115095589,0.65587077614065
"Net.Black.Homeowners.Per",0.00624556596078777,0.903669885537125
"Net.Native.American.Homeowners.Per",-0.0144599410784063,0.77931106643461
"Net.Asian.Homeowners.Per",0.552762170902367,1.25290613833061e-31
"Net.Pacific.Islander.Homeowners.Per",-0.0206633870890897,0.688821875792999
"Net.Other.Homeowners.Per",-0.00530680921025627,0.91809378682213
"Net.Multi.Race.Homeowners.Per",-0.00361186662993004,0.944201324994264
"Net.White.Renters.Per",0.265733991078653,1.57195303432211e-07
"Net.Black.Renters.Per",-0.00913061090951998,0.859559349368646
"Net.Native.American.Renters.Per",-0.0453090576998789,0.379703643823537
"Net.Asian.Renters.Per",0.34214129489461,8.06457247152419e-12
"Net.Pacific.Islander.Renters.Per",-0.0128249914306228,0.803723790136626
"Net.Other.Renters.Per",-0.0219026467522546,0.671218184868884
"Net.Multi.Race.Renters.Per",-0.00206846146957032,0.968027481446421
"Net.Latino.Homeowners.Per",-0.00519648173656311,0.919790814585283
"Net.Latino.Renters.Per",-0.00347558580721219,0.946303456912657
