"Dependent","Intercept","Slope","R_squared","P_value"
"Population","87.3198371974035","1.92392816591956","0.0682032986291968","1.52689295033928e-284"
"Latino","20.895153721661","0.236474807480568","0.0089706113047929","6.2588665685071e-38"
"White","24.7441024079998","0.431999087152569","0.0350599847428586","8.6734738308896e-145"
"Black","8.31298470054703","0.166341772042579","0.0197255016775121","1.10006601150904e-81"
"Native.American","0.221391380775794","0.00147229170240262","0.000322016672650912","0.0149335578055793"
"Asian","27.2227548997992","1.006490810873","0.0845138141418514","0"
"Pacific.Islander","0.698354297743212","0.00916337410092521","0.00385498886387488","3.48705038705326e-17"
"Other","0.552116974021527","0.00716849732296683","0.00805343014857717","3.27105862629899e-34"
"Multi.Race","4.67297881485698","0.0648175252446111","0.0313553681623996","1.85553814654654e-129"
"Homes","31.7596624424035","0.954902503920452","0.103354475142384","0"
"Vacant","1.41785459935812","0.107404948033799","0.129631752371677","0"
"Year","2019.99999999943","2.29878409411494e-14","0.49999883619352","0.913219917510839"
"LatinoPer","16.9602943288653","-0.0206845035914532","0.000419336253672855","0.00547608733429466"
"WhitePer","21.8519082935754","0.0272496164284719","0.000499857269406213","0.00242422239257279"
"BlackPer","6.38024744721874","0.0214059820350798","0.00135254929742857","6.04981538066799e-07"
"Native.AmericanPer","0.2541250718782","-0.000629838662759495","8.52564548960326e-05","0.210451635824615"
"AsianPer","19.2587303260538","0.167972670121668","0.0197032388420083","1.3563701515678e-81"
"Pacific.IslanderPer","0.624019355986193","-0.00110515739224511","9.51949314182964e-05","0.185732663931518"
"OtherPer","0.632571329782088","-0.000581047087786828","2.78313939399904e-05","0.474295198368169"
"Multi.RacePer","5.32710611993103","-0.0064348527618787","0.000297901049561861","0.0192291281666662"
"VacantPer","5.04134780271745","0.0243331002208085","0.000961342632845073","2.59727184888036e-05"
"Homeowners","16.1607284223441","0.232169769864337","0.0233794250868314","1.22425454498163e-96"
"WhiteHomeowners","7.14195201163403","0.056381287673151","0.00552351020221394","5.88746283200954e-24"
"BlackHomeowners","1.09700078473278","0.0062752380574352","0.00110609350069966","6.4247600980933e-06"
"Native.AmericanHomeowners","0.0991710422651304","0.000597163461937271","0.000736499731900951","0.000231977810582828"
"AsianHomeowners","5.46026791581972","0.151290695353679","0.039387895647265","9.058629159973e-163"
"Pacific.IslanderHomeowners","0.0818972106406646","0.000921394016880274","0.0012569308291105","1.51004339393423e-06"
"OtherHomeowners","0.999425189150808","0.00640451340600093","0.00199830261956645","1.31256442143163e-09"
"Multi.RaceHomeowners","1.28101426810052","0.0102994778952476","0.00515479801469015","1.84220086805384e-22"
"Renters","14.1810794207015","0.615327786022298","0.0887816911341726","0"
"WhiteRenters","4.71325286805214","0.214906990553079","0.0756889161628303","8.75618907912616e-317"
"BlackRenters","2.36388893314508","0.0765406926725811","0.0267220298637096","2.31270689221013e-110"
"Native.AmericanRenters","0.192263826357857","0.00329442874697503","0.00601645065470241","5.905549334251e-26"
"AsianRenters","3.35653682155014","0.225290769935362","0.084962707538958","0"
"Pacific.IslanderRenters","0.101539011193858","0.00342284684602318","0.0100776361407455","2.02797298390781e-42"
"OtherRenters","1.94973613146918","0.0394224811563039","0.01132262038665","1.79985343146299e-47"
"Multi.RaceRenters","1.50386182893245","0.0524495761120229","0.0505752829896039","1.28953393862233e-209"
"Households","30.3418078430455","0.847497555886639","0.0893545581418615","0"
"LatinoHomeowners","2.0804133035181","0.0140892171102531","0.0032471650485546","1.03564001659548e-14"
"LatinoRenters","3.29122103203283","0.0761063639143763","0.0193847871857878","2.71196470770919e-80"
"PopulationNet","5.23440673351165","1.92293073315888","0.493735939989675","0"
"WhiteNet","-3.21576414840639","0.42894776575887","0.191364285991766","0"
"BlackNet","-1.6676475482003","0.153832998053626","0.0218525359326052","2.20109463962375e-90"
"Native.AmericanNet","-0.0071024543861445","0.00194395753586481","0.000590079047746348","0.000984010744792334"
"AsianNet","5.93194674002413","1.03669081887002","0.389134518179136","0"
"Pacific.IslanderNet","0.0547820138604802","0.00695223498259903","0.00274300980250525","1.17619155235574e-12"
"OtherNet","0.324779480352824","0.0072021680135147","0.00782597535685002","2.73306036464623e-33"
"Multi.RaceNet","1.36817908371253","0.0633062706833915","0.0490922959058867","2.24513651363615e-203"
"LatinoNet","2.44874251384834","0.223710829239852","0.0592647558715968","2.23542934833576e-246"
"HomesNet","-1.66797585123776e-13","1.00000000000008","1","0"
"VacantNet","-0.612459351085381","0.106103777719355","0.108199869129711","0"
"Net.Households","0.613121899453088","0.893866075405353","0.895845580944215","0"
"Net.Homeowners","0.380574330790351","0.209132896428478","0.129820589709249","0"
"Net.Renters","0.23272921794452","0.684775225739142","0.602282117017989","0"
"Net.White.Homeowners","-1.80891862849185","0.0461159826651254","0.0154368243956258","3.40185994249927e-64"
