"Dependent","Intercept","Slope","R_squared","P_value"
"Population","86.9474788979937","1.15894624003337","0.0276430278569058","9.05655761517242e-32"
"Latino","25.5675023709951","0.0939226315175864","0.00104039801908449","0.0238101149723086"
"White","23.6255327047798","0.371248495460425","0.019227443170577","1.65472478182951e-22"
"Black","17.7932337289425","0.315990613169155","0.0230337703009219","1.08649999256196e-26"
"Native.American","0.273222532212123","0.00155019172285302","0.000685335037204186","0.0666184421867468"
"Asian","13.5999459560963","0.308059047109194","0.0298099718661921","3.65641568604771e-34"
"Pacific.Islander","0.537212300901783","-0.000887094252098606","4.91853176188471e-05","0.623209102511511"
"Other","0.593079866723508","0.00356313024931814","0.0015833454589763","0.00529324156477925"
"Multi.Race","4.95774943734322","0.0654992250569701","0.0231128969482713","8.89152036950387e-27"
"Homes","34.4202380944326","0.911620767924397","0.0713211912931054","5.89843153567223e-81"
"Vacant","1.72519532396157","0.220185295531257","0.281484616096789","0"
"Year","2020.00000000003","-2.48257182149921e-15","0.500011405771381","0.911649811472324"
"LatinoPer","21.9920039304988","-0.0374441337415504","0.000639363319799435","0.0764557079185594"
"WhitePer","20.7097857377963","0.0977285515780837","0.00451484850538261","2.44806767044819e-06"
"BlackPer","14.4609711512871","0.0646574243363795","0.00401695508592687","8.81275124904887e-06"
"Native.AmericanPer","0.320424538979273","-0.000906888243413361","9.11409866146841e-05","0.503622428451738"
"AsianPer","11.2224168282149","0.0748255548038738","0.00622853152883089","3.07103921852589e-08"
"Pacific.IslanderPer","0.532966551744412","-0.00177890143375587","0.000220100875660691","0.29863851769848"
"OtherPer","0.691447769454453","-0.000127507248838735","1.01292144910595e-06","0.943791949457661"
"Multi.RacePer","5.7810084045923","0.0042499118302086","8.17122946125893e-05","0.526563228000648"
"VacantPer","6.00255091734353","0.0665717731588856","0.00434449386321472","3.79232511089981e-06"
"Homeowners","13.2371951315627","0.0652601683951322","0.00206172336301542","0.00146005879438986"
"WhiteHomeowners","5.99301944282683","0.0293621504164412","0.00117891866327371","0.0161271596487829"
"BlackHomeowners","2.54086466261306","0.00993265546007133","0.00067935272562142","0.0678180773702897"
"Native.AmericanHomeowners","0.105553784388912","0.00111926830577884","0.00169986500268718","0.00385860173615259"
"AsianHomeowners","2.25419672091239","0.0154007476788943","0.00191708238306511","0.00214969871042634"
"Pacific.IslanderHomeowners","0.0271060584453344","0.000104583969796175","7.1829580721101e-05","0.552692141392917"
"OtherHomeowners","1.10710557285339","0.00139310297789669","5.80126872810464e-05","0.593633506151768"
"Multi.RaceHomeowners","1.20934888952282","0.00794765958625433","0.00243964992241792","0.00053566911679874"
"Renters","19.4578476389086","0.626175303998067","0.0568949950227896","1.76944223229797e-64"
"WhiteRenters","6.00141898094592","0.240744513866571","0.0469259612529397","3.13151688869236e-53"
"BlackRenters","5.14198710087466","0.14594471298662","0.030677897213099","4.00920051900983e-35"
