"Column","CorrelationCoefficient","PValue"
"PopulationNet",0.785725931235663,0
"WhiteNet",0.643394602926791,0
"BlackNet",0.338070241710083,4.19271321741504e-159
"Native.AmericanNet",0.0437901419449394,0.000725243442824412
"AsianNet",0.728876567272871,0
"Pacific.IslanderNet",0.13963678572293,2.60684715750456e-27
"OtherNet",0.100638190409706,7.04908625075866e-15
"Multi.RaceNet",0.367069138020478,2.50096888198363e-189
"LatinoNet",0.396261054731364,4.40643755481747e-223
"HomesNet",1,0
"VacantNet",0.412496234390934,2.17132215599711e-243
"Net.Households",0.939564323434394,0
"Net.Homeowners",0.286858274977804,3.72268255298965e-113
"Net.Renters",0.855800045022222,0
"Net.White.Homeowners",0.152631646352775,2.30129585829955e-32
"Net.Black.Homeowners",0.0572724297017032,9.78065875007442e-06
"Net.Native.American.Homeowners",0.0299620650573923,0.0207792558827409
"Net.Asian.Homeowners",0.285218595826944,7.8293366531045e-112
"Net.Pacific.Islander.Homeowners",-0.00644946491181242,0.618797465036762
"Net.Other.Homeowners",0.0630535659939817,1.1206593205335e-06
"Net.Multi.Race.Homeowners",0.128570100745608,2.28003390756249e-23
"Net.White.Renters",0.676208541706956,0
"Net.Black.Renters",0.407129984887067,1.4946972069925e-236
"Net.Native.American.Renters",0.163155043704794,8.48034035007905e-37
"Net.Asian.Renters",0.710291826154698,0
"Net.Pacific.Islander.Renters",0.185488384187176,3.11125481898803e-47
"Net.Other.Renters",0.345105723957857,3.80788412961876e-166
"Net.Multi.Race.Renters",0.412098994091348,7.0341145122992e-243
"Net.Latino.Homeowners",0.0976888067314923,4.20888739186743e-14
"Net.Latino.Renters",0.455380157959048,9.72721661972775e-303
