"Column","CorrelationCoefficient","PValue"
"PopulationNet",0.781196396343695,0
"WhiteNet",0.631437478131678,0
"BlackNet",0.168587308313662,1.1331437571958e-51
"Native.AmericanNet",0.0343176521936312,0.00223275146195782
"AsianNet",0.647086165864774,0
"Pacific.IslanderNet",0.0576148916276633,2.81077125082748e-07
"OtherNet",0.10567973853347,3.77209520072146e-21
"Multi.RaceNet",0.240874533701193,4.02601171782031e-105
"LatinoNet",0.194395877408366,2.00676569313965e-68
"HomesNet",1,0
"VacantNet",0.411992608460641,7.90505033345994e-323
"Net.Households",0.940392777390814,0
"Net.Homeowners",0.18199693065211,4.6318086284612e-60
"Net.Renters",0.805219816902128,0
"Net.White.Homeowners",0.0773710815419114,5.15034875191607e-12
"Net.Black.Homeowners",0.000459567377060888,0.967350760907398
"Net.Native.American.Homeowners",0.0571208183773165,3.55056219641532e-07
"Net.Asian.Homeowners",0.150361516407011,2.39618263914535e-41
"Net.Pacific.Islander.Homeowners",-0.00273303126915454,0.807682572478947
"Net.Other.Homeowners",0.0425071798552948,0.000152111858475434
"Net.Multi.Race.Homeowners",0.0603485759985006,7.45585664165448e-08
"Net.White.Renters",0.593374779802034,0
"Net.Black.Renters",0.256750096182231,1.17279812051724e-119
"Net.Native.American.Renters",0.0950614454292003,2.14184489295969e-17
"Net.Asian.Renters",0.715188095699911,0
"Net.Pacific.Islander.Renters",0.0766664704106029,8.01199139228804e-12
"Net.Other.Renters",0.166979069335768,1.03512732348769e-50
"Net.Multi.Race.Renters",0.335062758778699,1.94332963573891e-207
"Net.Latino.Homeowners",0.0524792053331095,2.90731328068725e-06
"Net.Latino.Renters",0.286131350335752,2.25059100414957e-149
